region_id,RegioStaR7,bev_mini,bev_medium,bev_luxury,phev_mini,phev_medium,phev_luxury
3351002,LR_Klein,46,102,31,28,63,19
3351003,LR_Klein,29,66,20,18,41,12
3351008,LR_Klein,57,127,39,35,79,24
3351015,LR_Klein,47,105,32,29,65,20
3351016,LR_Klein,181,403,123,112,250,76
3351017,LR_Klein,61,136,41,38,84,26
8115029,SR_Mitte,261,645,262,162,400,162
8115041,SR_Mitte,490,1210,491,304,750,304
8115054,LR_Mitte,184,453,184,114,281,114
8325011,LR_Mitte,121,289,87,75,179,54
8325049,LR_Mitte,758,1815,545,469,1124,337
8325060,LR_Mitte,98,235,71,61,146,44
8325069,LR_Mitte,185,443,133,114,274,82
9184119,SR_Mitte,440,1332,556,273,825,344
9471133,LR_Klein,30,72,19,18,45,12
9674130,LR_Mitte,204,581,147,126,360,91
9674184,LR_Mitte,42,120,30,26,74,19
9674190,LR_Mitte,44,126,32,27,78,20
9674210,LR_Klein,48,136,34,30,84,21
13076006,LR_Klein,18,41,10,11,25,6
13076040,LR_Klein,13,30,8,8,19,5
13076043,LR_Klein,6,15,4,4,9,2
13076048,LR_Klein,99,231,58,61,143,36
13076051,LR_Klein,12,29,7,8,18,4
13076075,LR_Klein,10,23,6,6,14,4
13076077,LR_Klein,13,30,7,8,18,5
13076089,LR_Klein,171,400,99,106,248,62
13076096,LR_Klein,21,50,12,13,31,8
13076109,LR_Klein,19,45,11,12,28,7
13076120,LR_Klein,22,52,13,14,32,8
13076135,LR_Klein,20,47,12,13,29,7
13076151,LR_Klein,10,23,6,6,14,3
13076164,LR_Klein,21,50,12,13,31,8
13076165,LR_Klein,14,33,8,9,21,5
13076166,LR_Klein,40,94,24,25,59,15