year,destination,charging_capacity,private,public
2030,work,0,0.547945205,0.452054795
2030,work,3.7,0.784313725,0.215686275
2030,work,11,0.784313725,0.215686275
2030,work,22,0.784313725,0.215686275
2030,work,50,0.784313725,0.215686275
2030,home,0,0.518376261,0.481623739
2030,home,3.7,0.913790198,0.086209802
2030,home,11,0.90761741,0.09238259
2030,home,22,0.560432007,0.439567993
2030,home,50,0,1
2035,work,0,0.547945205,0.452054795
2035,work,3.7,0.784313725,0.215686275
2035,work,11,0.784313725,0.215686275
2035,work,22,0.784313725,0.215686275
2035,work,50,0.784313725,0.215686275
2035,home,0,0.518376261,0.481623739
2035,home,3.7,0.913790198,0.086209802
2035,home,11,0.90761741,0.09238259
2035,home,22,0.560432007,0.439567993
2035,home,50,0,1
2050,work,0,0.377358491,0.622641509
2050,work,3.7,0,1
2050,work,11,0.845070423,0.154929577
2050,work,22,0.845070423,0.154929577
2050,work,50,0.845070423,0.154929577
2050,home,0,0.288178985,0.711821015
2050,home,3.7,1,0
2050,home,11,0.935018417,0.064981583
2050,home,22,0.791515547,0.208484453
2050,home,50,0,1
2050 - Sensitivity low work,work,0,0.547945205,0.452054795
2050 - Sensitivity low work,work,3.7,0,1
2050 - Sensitivity low work,work,11,0.784313725,0.215686275
2050 - Sensitivity low work,work,22,0.784313725,0.215686275
2050 - Sensitivity low work,work,50,0.784313725,0.215686275
2050 - Sensitivity low work,home,0,0.288178985,0.711821015
2050 - Sensitivity low work,home,3.7,1,0
2050 - Sensitivity low work,home,11,0.935018417,0.064981583
2050 - Sensitivity low work,home,22,0.791515547,0.208484453
2050 - Sensitivity low work,home,50,0,1